transaction_id,customer_id,amount,transaction_date,product_category,payment_method,store_location
1,565,2992.47,3/10/2025 1:20,Sports,Debit Card,New York
2,323,2041.87,1/2/2025 15:24,Clothing,Cash,New York
3,398,107.35,2/16/2025 3:49,Beauty,Debit Card,Online
4,19,,4/30/2025 15:26,Sports,Debit Card,Los Angeles
5,547,3063.28,6/14/2025 4:28,Clothing,PayPal,Los Angeles
6,752,441.49,3/28/2025 6:15,Electronics,Cash,New York
7,615,3027.38,3/18/2025 15:59,Beauty,Credit Card,Chicago
8,1,2652.57,4/19/2025 14:46,Home,Credit Card,New York
9,200,2821.46,1/22/2025 19:12,Electronics,PayPal,New York
10,757,3896.31,2/27/2025 9:18,Clothing,PayPal,Los Angeles
11,548,3925.15,2/20/2025 5:53,Sports,Credit Card,Online
12,576,1287.14,3/22/2025 2:04,Beauty,Credit Card,Miami
13,286,2071.72,5/6/2025 3:01,Clothing,Cash,Miami
14,579,,4/16/2025 20:54,Home,Cash,Online
15,927,4349.07,1/7/2025 17:00,Beauty,Debit Card,Chicago
16,169,366.17,1/19/2025 13:22,Electronics,Cash,New York
17,724,1616.35,3/26/2025 18:46,Sports,Debit Card,Chicago
18,923,2523.63,1/1/2025 13:36,Electronics,Credit Card,New York
19,111,15.1,6/1/2025 12:01,Beauty,Cash,Los Angeles
20,48,4357.9,3/27/2025 6:31,Electronics,Debit Card,New York
21,752,2707.82,5/26/2025 7:35,Clothing,Credit Card,Miami
22,609,4341.42,4/18/2025 0:36,Sports,Cash,Online
23,303,1108.71,1/22/2025 10:42,Electronics,Credit Card,Miami
24,184,,2/27/2025 13:58,Beauty,Debit Card,Los Angeles
25,657,3206.91,4/28/2025 12:32,Clothing,Credit Card,New York
26,744,,4/23/2025 2:38,Beauty,PayPal,New York
27,154,543.27,4/20/2025 5:02,Beauty,PayPal,New York
28,659,2712.18,2/1/2025 3:32,Sports,Cash,Online
29,469,159.61,2/28/2025 10:32,Electronics,Debit Card,Chicago
30,534,2749.55,5/20/2025 0:18,Electronics,Debit Card,Miami
31,433,1330.01,1/27/2025 2:30,Clothing,PayPal,Los Angeles
32,877,1208.22,2/16/2025 10:54,Home,Debit Card,Los Angeles
33,259,2011.03,1/23/2025 21:57,Home,Debit Card,Online
34,838,,1/30/2025 22:27,Clothing,Cash,Los Angeles
35,208,3632.29,1/25/2025 13:36,Home,Cash,Los Angeles
36,271,3320.88,3/14/2025 10:20,Beauty,Debit Card,Miami
37,59,1305.45,6/4/2025 0:50,Sports,Credit Card,New York
38,377,4321.29,4/28/2025 7:17,Beauty,Debit Card,New York
39,223,454.05,3/4/2025 18:16,Clothing,Cash,Chicago
40,922,3722.38,1/11/2025 7:26,Sports,Cash,Online
41,210,4484.24,1/27/2025 13:52,Beauty,Cash,Los Angeles
42,833,2408.29,3/13/2025 17:49,Sports,Credit Card,Los Angeles
43,76,4803.45,3/14/2025 23:35,Electronics,Cash,Miami
44,837,3422.42,3/21/2025 19:56,Home,Cash,Miami
45,997,480.64,1/6/2025 8:27,Home,Credit Card,Los Angeles
46,210,4277.78,2/23/2025 4:30,Beauty,Credit Card,Online
47,704,4559.71,4/27/2025 10:19,Beauty,Credit Card,Chicago
48,171,1722.4,6/2/2025 12:22,Clothing,Credit Card,Los Angeles
49,752,1431.1,1/19/2025 9:07,Electronics,PayPal,New York
50,67,4775.53,1/5/2025 8:26,Electronics,Debit Card,Online
51,144,330.69,4/17/2025 23:16,Beauty,Cash,New York
